- Wydruk z 2016-11-09 09-48-07 -
Sklep nr 0    KDSH CENTRALA
Komentarz: s1

Nrg|Grupa Skl.|Id|Nazwa kategorii|Wymu¶|Ok|Zaokr|Min.|Max.|Sug|Opis|Wystawi³|
1|Sklep 1|2|01.01.01 WÓDKA CZYSTA|v| | |27.00|37.00|0.00||ROOT|
1|Sklep 1|3|01.01.02 WÓDKA KOLOROWA|v| | |27.00|37.00|0.00||ROOT|
1|Sklep 1|4|01.01.03 SPIRYTUS|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|6|01.01.04 ALKOHOLE KOLOROWE|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|258|01.01.05 SZAMPAN|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|267|01.01.06 WINA I NALEWKI|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|282|01.01.07 KOKTAIL, DRINK, LIKIER|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|307|01.01.08 PIWO W BUTELCE|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|314|01.01.09 PIWO W PUSZCE|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|331|01.01.10 CYDR|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|344|01.01.99 INNE|v| | |27.00|37.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|352|01.02.01 DRÓB PIECZONY|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|358|01.02.02 MIÊSO WIEPRZOWE PIECZONE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|369|01.02.03 DANIA GOTOWE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|375|01.02.99 INNE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|384|01.03.01 MLEKA, KASZKI, KLEIKI|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|391|01.03.02 ZUPY, DESERY|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|397|01.03.03 NAPOJE (HERBATA, SOCZEK)|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|403|01.03.99 INNE|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|410|01.04.01 AROMATY|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|416|01.04.02 ARTYKU£Y DO PIECZENIA|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|424|01.04.03 POLEWY, KREMY|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|437|01.04.04 OWOCE SUSZONE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|448|01.04.05 OWOCE KANDYZOWANE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|449|01.04.06 DRO¯D¯E|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|473|01.04.99 INNE|v| | |40.00|50.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|500|01.05.01 KARMA DLA PSA|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|643|01.05.02 KARMA DLA KOTA|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|653|01.05.03 SMAKO£YKI - DODATKI TYPU KOSTKA|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|663|01.05.99 INNE|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|672|01.06.01 BUDYÑ|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|681|01.06.02 KISIEL|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|692|01.06.03 GALARETKA|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|701|01.06.04 BITA ¦MIETANA|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|724|01.06.05 ARTYKU£Y W PROSZKU (LODY, CIAST|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|759|01.06.06 MUSY OWOCOWE|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|768|01.06.07 ZUPY B£YSKAWICZNE, BULIONY|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|773|01.06.99 INNE|v| | |35.00|45.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|779|01.07.01 MIÊSO WIEPRZOWE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|789|01.07.02 MIÊSO WO£OWE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|812|01.07.03 MIÊSO CIELÊCE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|828|01.07.04 MIÊSO BARANIE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|848|01.07.05 MIÊSO DROBIOWE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|849|01.07.99 INNE|v| | |25.00|40.00|0.00||WOJTEK OBCZYNSKI|
1|Sklep 1|891|01.08.01 WÊDLINY|v| | |30.00|40.00|0.00||WOJTEK OBCZYNSKI|
